source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
האַמעל	Gomel	Q2678	10963	Homelʹ (Belarus)	הומל (בלארוס)	WIKIDATA	2-facs_175_tr_1744279183|7-facs_63_r_4|4-facs_661_tr_1755030261|5-facs_431_tr_1739220740	birth|death	yes	Zylbercweig lexicon (Maaty reconciliation)
כאָטין	Khotyn	Q45883	16674	Khotyn (Ukraine)	חוטין (אוקראינה)	WIKIDATA	2-facs_192_r_8|4-facs_446_tr_1755029997|5-facs_208_tr_1739221724	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זוויעניגראָדקאָ	Zvenyhorodka	Q219836	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)	WIKIDATA	2-facs_273_tr_1744280704	death	yes	Zylbercweig lexicon (Maaty reconciliation)
זלאָ טשעוו	Zolochiv	Q623594	1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	WIKIDATA	2-facs_295_tr_1744280772	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סאַטאַנאָוו	Sataniv	Q2629630	23839	Sataniv (Ukraine)	סאטאניב (אוקראינה)	NAME_EXACT	2-facs_358_tr_1744365786	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אַלעקסאַנדיאָ	Oleksandriia	Q156734	18391	Oleksandrii︠a︡ (Kirovohradsʹka oblastʹ, Ukraine)	אלכסנדריה (אוקראינה)	NAME_EXACT	2-facs_366_tr_1744366819	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
יאָרמאַלינעץ	Yarmolyntsi	Q2391335	723	Yarmolyntsi (Ukraine)	ירמליניץ (אוקראינה)	WIKIDATA	2-facs_392_tr_1744366849	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאַמינקע	Kamionka	Q130536	75609	Kamionka (Lubartów, Poland)	קמיונקה (לוברטוב, פולין)	WIKIDATA	2-facs_59_tr_1744131417	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זלאַטשעוו	Zolochiv	Q623594	1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	WIKIDATA	2-facs_67_tr_1744131421|7-facs_73_r	birth|death	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָזשעניץ	Kozienice	Q990651	676	Kozienice (Poland)	קוז'ניץ (פולין)	WIKIDATA	3-facs_115_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זלאטשעוו	Zolochiv	Q623594	1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	WIKIDATA	3-facs_130_r|2-facs_135_tr_1744279211	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אַלעיאָוו	Olevsk	Q913143	26120	Olevsk (Ukraine)	אולבסק (אוקראינה)	WIKIDATA	3-facs_150_tr_1754213811	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ברזשעזין	Brzeziny	Q324917	16601	Brzeziny (Łódź, Poland)	בז'ז'ין (ליד לודז', פולין)	WIKIDATA	3-facs_315_tr_1756044903|3-facs_315_tr_1756044901	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קריוואָיע אָזערע	Kryve Ozero	Q2453477	19909	Kryve Ozero (Ukraine)	קריבויה אוזרו (אוקראינה)	NAME_EXACT	3-facs_316_tr_1756045022	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
רזשעשאָוו (ריישע)	Rzeszów	Q598	451	Rzeszów (Poland)	רישא (פולין)	WIKIDATA	3-facs_325_tr_1756057604	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
פּאָמארזשאָני	Pomoryany	Q4371769	71243	Pomori︠a︡ny (Lʹvivsʹka oblastʹ, Ukraine)	פומוז'אני (אוקראינה)	WIKIDATA	3-facs_34_tr_1752653017	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אַטלאַנטיק סיטי	Atlantic City	Q139564	712	Atlantic City (N.J.)	אטלנטיק סיטי (ניו ג'רזי)	WIKIDATA	4-facs_138_tr_1754224987|6-facs_28_r_2	death	yes	Zylbercweig lexicon (Maaty reconciliation)
זלאָטשעוו	Zolochiv	Q623594	1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	WIKIDATA	4-facs_252_tr_1754998536|2-facs_293_tr_1744280709|2-facs_296_r|2-facs_398_r|5-facs_112_tr_1733832830|7-facs_72_tr_1757228897	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאַלינאָווקאַ	Kalynivka	Q1020122	27163	Kalynivka (Ukraine)	קליניבקה (אוקראינה)	NAME_EXACT	4-facs_274_tr_1754998428	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
טשאַשניקי	Chashniki	Q954421	19319	Chashniki (Belarus)	צ'שניקי (בלארוס)	WIKIDATA	4-facs_373_tr_1755030160	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
וואָלין	Zvolen	Q11874	11609	Zvolen (Slovakia)	זבולן (סלובקיה)	WIKIDATA	4-facs_375_tr_1755029878	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מאַרקולעשט	Mărculești	Q2291808	6111	Mărculești (Soroca, Romania)	מרקולשטי (סורוקה, רומניה)	NAME_EXACT	4-facs_379_tr_1755030303	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
